COUNTY,NAME,latitude,longitude
DUVAL,HANNA PARK,30.3709553,-81.4028428
ST JOHNS,GUANA RIVER SP,29.91218,-81.40989
WALTON,WALTON COUNTY BCHS,26.677051,-80.052446
BAY,PANAMA CITY BCH,30.1765914,-85.805386
ST JOHNS,ST AUG BCHS,29.91218,-81.40989
ST JOHNS,FT MATANZAS NM,29.91218,-81.40989
FLAGLER,COUNTY BCHS,29.481089,-81.131149
GULF,MEXICO BEACH,26.449385,-80.100171
VOLUSIA,NEW SMYRNA BCH,29.0258132,-80.9271271
BREVARD,CANAVERAL NS,28.4513556,-80.5283059
INDIAN RIVER,WABASSO BCH,27.7642808,-80.3979434
PINELLAS,MID COUNTY BCHS,27.90268,-82.73955
PINELLAS,FT DESOTO CO PK,27.6361828,-82.7172873
SARASOTA,CASEY KEY,27.1500534,-82.4806525
PALM BEACH,CORAL COVE PARK,26.9605829,-80.0781245
PALM BEACH,TEQUESTA BCHS,26.782194,-80.035116
PALM BEACH,OCEAN REEF PARK,26.7936633,-80.0332519
PALM BEACH,LANTANA,26.5865308,-80.052166
PALM BEACH,MANALAPAN,26.5692364,-80.0447635
PALM BEACH,OCEAN INLET PARK,26.544511,-80.0437845
LEE,GASPARILLA ISLAND,26.772291,-82.2662057
COLLIER,WIGGINS PASS SRA,28.581239,-81.328248
DADE,MIAMI BCHS,27.637003,-81.832431
DADE,VIRGINIA KEY,25.7449289,-80.1458679
MONROE,KEY WEST BCHS,25.55731,-80.91705
MONROE,FT TAYLOR SHS,25.55731,-80.91705
MONROE,MARQUESAS KEYS,24.5778787,-82.1084366
MONROE,GARDEN KEY,24.62849,-82.87318
BAY,TYNDALL AFB,30.0691172,-85.5772755
DUVAL,L TALBOT ISL SP,30.474452,-81.65222
OKALOOSA,COUNTY BCHS,30.66503,-86.59218
ESCAMBIA,PERDIDO KEY,30.3180487,-87.4259275
PINELLAS,N COUNTY BCHS,27.90268,-82.73955
PALM BEACH,UNKNOWN,26.757872,-80.036852
NASSAU,FT CLINCH SP,30.61058,-81.77142
PALM BEACH,PALM BCHS,26.789809,-80.052072
ESCAMBIA,GULF ISL NS,30.415706,-87.276054
DUVAL,S COUNTY BCHS,30.4686,-81.650746
PALM BEACH,PALM BCHS 1992,26.757872,-80.036852
ST JOHNS,PONTE VEDRA N,30.2396865,-81.3856384
BROWARD,BROWARD CO BCHS,26.621188,-80.124153
ST JOHNS,PONTE VEDRA S,30.0224671,-81.3236866
OKALOOSA,EGLIN AFB,30.461382,-86.5468344
OKALOOSA,HENDERSON SRA,30.66503,-86.59218
WALTON,COUNTY BCHS E,26.50033,-80.053835
WALTON,TOPSAIL SRA,26.500522,-80.053839
WALTON,GRAYTON BCH,30.3320215,-86.1676653
BAY,ST ANDREWS SRA,30.23765,-85.63262
ST JOHNS,ANASTASIA SRA,29.91218,-81.40989
FRANKLIN,ST VINCENT NWR,30.573019,-81.542569
GULF,MEXICO BCH,26.956239,-80.077173
FLAGLER,WASHINGTON OAKS,29.6355286,-81.2039528
COLLIER,10000 ISLS NWR,26.09924,-81.38097
COLLIER,CP ROMANO,28.663912,-81.509357
GULF,ST JOE PENIN SP,26.449385,-80.100171
GULF,CAPE SAN BLAS,29.6855511,-85.3687032
FRANKLIN,ST GEO ISL SP,30.677999,-81.455209
GULF,CAPE SAN BLAS AFB,26.449385,-80.100171
MONROE,TOMS HARBOR KEY,25.55731,-80.91705
FRANKLIN,DOG ISL,30.678079,-81.456019
FRANKLIN,ST GEO ISL,30.685597,-81.429754
VOLUSIA,VOLUSIA CO BCHS,29.06345,-81.14857
VOLUSIA,N PENINSULA SRA,29.06345,-81.14857
VOLUSIA,CANAVERAL NS,29.06345,-81.14857
BREVARD,MERRITT ISL NWR,28.30031,-80.70121
BREVARD,CP CANAVERAL AFS,28.30031,-80.70121
MONROE,GRASSY KEY (ATL),24.61764,-81.72731
BREVARD,JETTY PARK,28.4065705,-80.5940147
BREVARD,PATRICK AFB,28.23809,-80.6079
PINELLAS,ANCLOTE KEY SP,27.90268,-82.73955
MONROE,VACA KEY (SUNRISE,25.55731,-80.91705
PINELLAS,HONEYMOON IS SRA,27.90268,-82.73955
BREVARD,S BREVARD BCHS,28.30031,-80.70121
